block_number,type,value
16125229,0x9c52a7f100000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000
16125229,0x65fae35e00000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000
16190958,0x3b4da69f00000000000000000000000000000000000000000000000000000000,0x00000000000000000000000000000000000000000000043c33c1937564800000
16191036,0x3b4da69f00000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000034f086f3b33b68400000
16240711,0x3b4da69f00000000000000000000000000000000000000000000000000000000,0x00000000000000000000000000000000000000000000136039959c3912300000
16377145,0x3b4da69f00000000000000000000000000000000000000000000000000000000,0x000000000000000000000000000000000000000000000a968163f0a57b400000
17279830,0x3b4da69f00000000000000000000000000000000000000000000000000000000,0x00000000000000000000000000000000000000000000022a8df9a5766e293d29
17288139,0xef693bed00000000000000000000000000000000000000000000000000000000,0x00000000000000000000000000000000000000000000021e19e0c9bab2400000
17372247,0xef693bed00000000000000000000000000000000000000000000000000000000,0x00000000000000000000000000000000000000000000572375aed38f5a300000
18730356,0xef693bed00000000000000000000000000000000000000000000000000000000,0x00000000000000000000000000000000000000000000000c7418dbbbbbe93d29
