block_number,type,value
13057083,0xdd0e34038ac38b2a1ce960229778ac48a8719bc900b6c4f8d0475c6e8b385a60,0x000000000000000000000000da0c0de01d90a5933692edf03c7ce946c7c50445
13057093,0xdd0e34038ac38b2a1ce960229778ac48a8719bc900b6c4f8d0475c6e8b385a60,0x000000000000000000000000be8e3e3618f7474f8cb1d074a26affef007e98fb
13057095,0xdd0e34038ac38b2a1ce960229778ac48a8719bc900b6c4f8d0475c6e8b385a60,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13057127,0x184450df2e323acec0ed3b5c7531b81f9b4cdef7914dfd4c0a4317416bb5251b,0x000000000000000000000000da0c0de01d90a5933692edf03c7ce946c7c50445
13139232,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13139345,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13146568,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13153353,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13224387,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13225439,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13249179,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
