https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1707778800000,2024-02-12 23:00:00,AAVE/USD,90.4,91.8495,89.9092,89.9096,11.481517,1032.2986008632
1707775200000,2024-02-12 22:00:00,AAVE/USD,90.5752,90.5752,90.4,90.4,21.024427,1900.6082008
1707771600000,2024-02-12 21:00:00,AAVE/USD,90.1026,91.8329,89.1664,90.5752,17.293424,1566.3553374848
1707768000000,2024-02-12 20:00:00,AAVE/USD,88.7777,90.478,88.7777,90.1026,11.703118,1054.4813599068
1707764400000,2024-02-12 19:00:00,AAVE/USD,90.1026,90.1026,88.7777,88.7777,1.788665,158.79356477049998
1707760800000,2024-02-12 18:00:00,AAVE/USD,89.71,91.235,89.2206,90.1026,37.561395,3384.3793491269994
1707757200000,2024-02-12 17:00:00,AAVE/USD,89.8537,93.9757,88.7913,89.71,26.719114,2396.97171694
1707753600000,2024-02-12 16:00:00,AAVE/USD,88.2399,89.8537,88.2399,89.8537,94.725955,8511.477542783501
1707750000000,2024-02-12 15:00:00,AAVE/USD,86.1771,88.2399,86.1771,88.2399,8.847446,780.6977502954
1707746400000,2024-02-12 14:00:00,AAVE/USD,86.0563,87.2731,86.0563,86.1771,4.639261,399.7980591231
1707742800000,2024-02-12 13:00:00,AAVE/USD,85.1656,86.0563,85.1656,86.0563,2.129368,183.2455314184
1707739200000,2024-02-12 12:00:00,AAVE/USD,85.1656,85.1656,85.1656,85.1656,0.0,0.0
1707735600000,2024-02-12 11:00:00,AAVE/USD,85.5786,86.4885,85.1656,85.1656,2.400302,204.4231600112
1707732000000,2024-02-12 10:00:00,AAVE/USD,85.5786,85.5786,85.5786,85.5786,0.0,0.0
1707728400000,2024-02-12 09:00:00,AAVE/USD,86.1656,86.1656,85.5786,85.5786,4.793052,410.1826798872
1707724800000,2024-02-12 08:00:00,AAVE/USD,86.1909,86.191,86.148,86.1656,3.32333,286.35672344799997
1707721200000,2024-02-12 07:00:00,AAVE/USD,86.1909,86.1909,86.1909,86.1909,0.0,0.0
1707717600000,2024-02-12 06:00:00,AAVE/USD,86.25,86.25,86.1909,86.1909,27.080998,2334.1355905182
1707714000000,2024-02-12 05:00:00,AAVE/USD,86.25,87.3598,86.25,86.25,1.5,129.375
1707710400000,2024-02-12 04:00:00,AAVE/USD,86.25,86.25,86.25,86.25,0.0,0.0
1707706800000,2024-02-12 03:00:00,AAVE/USD,86.25,86.25,86.25,86.25,0.0,0.0
1707703200000,2024-02-12 02:00:00,AAVE/USD,87.7989,88.2398,86.25,86.25,36.543434,3151.8711825
1707699600000,2024-02-12 01:00:00,AAVE/USD,87.36,87.7989,87.36,87.7989,2.090825,183.57213509250002
1707696000000,2024-02-12 00:00:00,AAVE/USD,87.2944,87.8921,86.25,87.36,20.621186,1801.4668089600002
