https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMP,Volume USD
1707778800000,2024-02-12 23:00:00,COMP/USD,55.87,56.82,55.87,55.99,3.825227,214.17445973
1707775200000,2024-02-12 22:00:00,COMP/USD,55.87,55.87,55.87,55.87,0.0,0.0
1707771600000,2024-02-12 21:00:00,COMP/USD,55.83,56.78,55.83,55.87,24.081128,1345.41262136
1707768000000,2024-02-12 20:00:00,COMP/USD,55.83,55.83,55.83,55.83,0.0,0.0
1707764400000,2024-02-12 19:00:00,COMP/USD,55.49,56.81,55.49,55.83,9.026999,503.97735417
1707760800000,2024-02-12 18:00:00,COMP/USD,55.94,56.76,55.49,55.49,25.57782,1419.3132318
1707757200000,2024-02-12 17:00:00,COMP/USD,55.93,55.94,55.93,55.94,1.010556,56.53050264
1707753600000,2024-02-12 16:00:00,COMP/USD,55.93,55.93,55.93,55.93,0.0,0.0
1707750000000,2024-02-12 15:00:00,COMP/USD,54.1,55.93,54.1,55.93,4.737329,264.95881097
1707746400000,2024-02-12 14:00:00,COMP/USD,54.1,54.1,54.1,54.1,0.0,0.0
1707742800000,2024-02-12 13:00:00,COMP/USD,54.1,54.1,54.1,54.1,0.0,0.0
1707739200000,2024-02-12 12:00:00,COMP/USD,54.1,54.1,54.1,54.1,0.0,0.0
1707735600000,2024-02-12 11:00:00,COMP/USD,54.2,55.08,54.1,54.1,1.177733,63.7153553
1707732000000,2024-02-12 10:00:00,COMP/USD,54.2,54.2,54.2,54.2,0.0,0.0
1707728400000,2024-02-12 09:00:00,COMP/USD,55.51,55.51,54.2,54.2,1.828684,99.11467280000001
1707724800000,2024-02-12 08:00:00,COMP/USD,55.51,55.51,55.51,55.51,0.0,0.0
1707721200000,2024-02-12 07:00:00,COMP/USD,54.67,55.86,54.67,55.51,0.892786,49.55855086
1707717600000,2024-02-12 06:00:00,COMP/USD,54.67,54.67,54.67,54.67,0.0,0.0
1707714000000,2024-02-12 05:00:00,COMP/USD,54.67,54.67,54.67,54.67,0.0,0.0
1707710400000,2024-02-12 04:00:00,COMP/USD,54.67,54.67,54.67,54.67,0.0,0.0
1707706800000,2024-02-12 03:00:00,COMP/USD,54.67,54.67,54.67,54.67,0.0,0.0
1707703200000,2024-02-12 02:00:00,COMP/USD,54.88,54.88,54.67,54.67,0.531384,29.050763279999998
1707699600000,2024-02-12 01:00:00,COMP/USD,55.23,55.23,54.88,54.88,1.043914,57.290000320000004
