https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1707778800000,2024-02-12 23:00:00,DAI/USD,0.99932,0.99941,0.99928,0.99941,6546.851,6542.98835791
1707775200000,2024-02-12 22:00:00,DAI/USD,0.99932,0.99932,0.99932,0.99932,38.392771,38.366663915720004
1707771600000,2024-02-12 21:00:00,DAI/USD,0.99932,0.99932,0.99932,0.99932,97.293765,97.2276052398
1707768000000,2024-02-12 20:00:00,DAI/USD,0.99932,0.99932,0.99932,0.99932,1030.700808,1029.99993145056
1707764400000,2024-02-12 19:00:00,DAI/USD,0.999,0.99932,0.999,0.99932,14380.571077,14370.79228866764
1707760800000,2024-02-12 18:00:00,DAI/USD,0.999,0.999,0.999,0.999,0.0,0.0
1707757200000,2024-02-12 17:00:00,DAI/USD,0.99936,0.99936,0.975,0.999,38444.834237,38406.389402763
1707753600000,2024-02-12 16:00:00,DAI/USD,0.99927,0.99936,0.99927,0.99936,1176.882871,1176.12966596256
1707750000000,2024-02-12 15:00:00,DAI/USD,0.99925,0.99927,0.99925,0.99927,0.300159,0.29993988393
1707746400000,2024-02-12 14:00:00,DAI/USD,0.99925,0.99925,0.99925,0.99925,0.0,0.0
1707742800000,2024-02-12 13:00:00,DAI/USD,0.99927,0.99927,0.98621,0.99925,45000.002999,44966.25299675074
1707739200000,2024-02-12 12:00:00,DAI/USD,0.99927,0.99927,0.99927,0.99927,0.0,0.0
1707735600000,2024-02-12 11:00:00,DAI/USD,0.99901,0.99927,0.97651,0.99927,60667.954992,60623.66738485584
1707732000000,2024-02-12 10:00:00,DAI/USD,0.99931,0.99931,0.99901,0.99901,7.475138,7.46773761338
1707728400000,2024-02-12 09:00:00,DAI/USD,0.99931,0.99931,0.99931,0.99931,0.0,0.0
1707724800000,2024-02-12 08:00:00,DAI/USD,0.99931,0.99931,0.99931,0.99931,0.0,0.0
1707721200000,2024-02-12 07:00:00,DAI/USD,0.99931,0.99931,0.99931,0.99931,0.0,0.0
1707717600000,2024-02-12 06:00:00,DAI/USD,0.99931,0.99931,0.99931,0.99931,0.0,0.0
1707714000000,2024-02-12 05:00:00,DAI/USD,0.9997,0.9997,0.9975,0.99931,4918.094779,4914.70129360249
1707710400000,2024-02-12 04:00:00,DAI/USD,0.99901,0.9999,0.9975,0.9997,8112.763804,8110.329974858801
1707706800000,2024-02-12 03:00:00,DAI/USD,0.99901,0.99901,0.99901,0.99901,0.1,0.099901
1707703200000,2024-02-12 02:00:00,DAI/USD,0.99902,0.99902,0.99901,0.99901,8000.0,7992.08
1707699600000,2024-02-12 01:00:00,DAI/USD,0.9999,0.9999,0.99902,0.99902,2500.0,2497.55
1707696000000,2024-02-12 00:00:00,DAI/USD,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1707692400000,2024-02-11 23:00:00,DAI/USD,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1707688800000,2024-02-11 22:00:00,DAI/USD,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1707685200000,2024-02-11 21:00:00,DAI/USD,0.9999,0.9999,0.9999,0.9999,1.502637,1.5024867363
1707681600000,2024-02-11 20:00:00,DAI/USD,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1707678000000,2024-02-11 19:00:00,DAI/USD,0.99918,0.9999,0.99918,0.9999,10000.580098,9999.5800399902
1707674400000,2024-02-11 18:00:00,DAI/USD,0.99952,0.99952,0.99918,0.99918,2.74,2.7377532
1707670800000,2024-02-11 17:00:00,DAI/USD,0.99952,0.99952,0.99952,0.99952,0.0,0.0
1707667200000,2024-02-11 16:00:00,DAI/USD,0.99911,0.99952,0.99911,0.99952,195.43169,195.3378827888
1707663600000,2024-02-11 15:00:00,DAI/USD,0.99911,0.99911,0.99911,0.99911,0.0,0.0
1707660000000,2024-02-11 14:00:00,DAI/USD,0.99941,0.99941,0.99911,0.99911,9.188292,9.18011442012
1707656400000,2024-02-11 13:00:00,DAI/USD,0.99941,0.99941,0.99941,0.99941,0.0,0.0
1707652800000,2024-02-11 12:00:00,DAI/USD,0.99941,0.99941,0.99941,0.99941,0.0,0.0
1707649200000,2024-02-11 11:00:00,DAI/USD,0.99941,0.99941,0.99941,0.99941,0.0,0.0
1707645600000,2024-02-11 10:00:00,DAI/USD,0.99941,0.99941,0.99941,0.99941,0.0,0.0
1707642000000,2024-02-11 09:00:00,DAI/USD,0.99941,0.99941,0.99941,0.99941,0.0,0.0
1707638400000,2024-02-11 08:00:00,DAI/USD,0.99941,0.99941,0.99941,0.99941,0.0,0.0
1707634800000,2024-02-11 07:00:00,DAI/USD,0.99911,0.99941,0.99911,0.99941,30.017711,30.00000055051
1707631200000,2024-02-11 06:00:00,DAI/USD,0.99918,0.99918,0.99911,0.99911,296.354541,296.09078545851
1707627600000,2024-02-11 05:00:00,DAI/USD,0.99918,0.99918,0.99918,0.99918,0.0,0.0
1707624000000,2024-02-11 04:00:00,DAI/USD,0.99918,0.99918,0.99918,0.99918,0.0,0.0
1707620400000,2024-02-11 03:00:00,DAI/USD,0.9997,0.9997,0.99918,0.99918,68.788343,68.73193655873999
1707616800000,2024-02-11 02:00:00,DAI/USD,0.9997,0.9997,0.9997,0.9997,0.0,0.0
1707613200000,2024-02-11 01:00:00,DAI/USD,0.9997,0.9997,0.9997,0.9997,0.0,0.0
1707609600000,2024-02-11 00:00:00,DAI/USD,0.9997,0.9997,0.9997,0.9997,0.0,0.0
1707606000000,2024-02-10 23:00:00,DAI/USD,0.9997,0.9997,0.9997,0.9997,15.240115,15.2355429655
