https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume USD
1707778800000,2024-02-12 23:00:00,MANA/USD,0.48497,0.48563,0.48359,0.48359,149.705038,72.39585932642001
1707775200000,2024-02-12 22:00:00,MANA/USD,0.4849,0.48497,0.4831,0.48497,1186.568851,575.45029566947
1707771600000,2024-02-12 21:00:00,MANA/USD,0.48644,0.48744,0.48323,0.4849,4696.783813,2277.4704709237
1707768000000,2024-02-12 20:00:00,MANA/USD,0.48413,0.487,0.48413,0.48644,74.935049,36.45140523556
1707764400000,2024-02-12 19:00:00,MANA/USD,0.48772,0.48865,0.48382,0.48413,362.483565,175.48916832345
1707760800000,2024-02-12 18:00:00,MANA/USD,0.48706,0.49064,0.48706,0.48772,1156.083238,563.84491683736
1707757200000,2024-02-12 17:00:00,MANA/USD,0.48209,0.48986,0.48209,0.48706,1283.336787,625.0620154762199
1707753600000,2024-02-12 16:00:00,MANA/USD,0.47956,0.48209,0.47803,0.48209,4839.207903,2332.9337379572703
1707750000000,2024-02-12 15:00:00,MANA/USD,0.4717,0.47956,0.4717,0.47956,327.158211,156.89199166716
1707746400000,2024-02-12 14:00:00,MANA/USD,0.46365,0.4717,0.46365,0.4717,2893.524797,1364.8756467449
1707742800000,2024-02-12 13:00:00,MANA/USD,0.46264,0.46365,0.46264,0.46365,8.605704,3.9900346595999996
1707739200000,2024-02-12 12:00:00,MANA/USD,0.46264,0.46264,0.46264,0.46264,0.0,0.0
1707735600000,2024-02-12 11:00:00,MANA/USD,0.46264,0.46264,0.46264,0.46264,0.0,0.0
1707732000000,2024-02-12 10:00:00,MANA/USD,0.46264,0.46264,0.46264,0.46264,0.0,0.0
1707728400000,2024-02-12 09:00:00,MANA/USD,0.46851,0.46851,0.46264,0.46264,87.638698,40.545167242720005
1707724800000,2024-02-12 08:00:00,MANA/USD,0.46851,0.46851,0.46851,0.46851,0.0,0.0
1707721200000,2024-02-12 07:00:00,MANA/USD,0.46851,0.46851,0.46851,0.46851,0.0,0.0
1707717600000,2024-02-12 06:00:00,MANA/USD,0.47398,0.47404,0.46851,0.46851,355.430454,166.52272200354
1707714000000,2024-02-12 05:00:00,MANA/USD,0.47262,0.47398,0.47262,0.47398,638.13881,302.4650331638
1707710400000,2024-02-12 04:00:00,MANA/USD,0.47895,0.47895,0.47262,0.47262,27.036557,12.77801756934
1707706800000,2024-02-12 03:00:00,MANA/USD,0.47167,0.47895,0.47,0.47895,2048.821324,981.2829731298
