https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USD
1707778800000,2024-02-12 23:00:00,UNI/USD,6.8503,6.8503,6.831,6.834,27.830438,190.193213292
1707775200000,2024-02-12 22:00:00,UNI/USD,6.8088,6.8503,6.8088,6.8503,0.406253,2.7829549259
1707771600000,2024-02-12 21:00:00,UNI/USD,6.8298,6.8576,6.8088,6.8088,256.964779,1749.6217872552002
1707768000000,2024-02-12 20:00:00,UNI/USD,6.7721,6.8298,6.7721,6.8298,110.778709,756.5964267282
1707764400000,2024-02-12 19:00:00,UNI/USD,6.799,6.8576,6.7721,6.7721,295.192395,1999.0724181795
1707760800000,2024-02-12 18:00:00,UNI/USD,6.7888,6.8187,6.7619,6.799,160.820783,1093.4205036170001
1707757200000,2024-02-12 17:00:00,UNI/USD,6.6767,6.7972,6.6767,6.7888,474.689168,3222.5698237184
1707753600000,2024-02-12 16:00:00,UNI/USD,6.7045,6.7278,6.6377,6.6767,1107.367702,7393.5619359434
1707750000000,2024-02-12 15:00:00,UNI/USD,6.6016,6.7045,6.5885,6.7045,62.184877,416.9185078465
1707746400000,2024-02-12 14:00:00,UNI/USD,6.4926,6.603,6.4926,6.6016,89.222037,589.0081994592
1707742800000,2024-02-12 13:00:00,UNI/USD,6.4926,6.4926,6.4926,6.4926,0.0,0.0
1707739200000,2024-02-12 12:00:00,UNI/USD,6.4926,6.4926,6.4926,6.4926,0.0,0.0
1707735600000,2024-02-12 11:00:00,UNI/USD,6.4926,6.4926,6.4926,6.4926,0.0,0.0
1707732000000,2024-02-12 10:00:00,UNI/USD,6.4974,6.4974,6.4926,6.4926,14.617344,94.9045676544
1707728400000,2024-02-12 09:00:00,UNI/USD,6.5974,6.5974,6.4974,6.4974,53.087125,344.928285975
1707724800000,2024-02-12 08:00:00,UNI/USD,6.5974,6.5974,6.5974,6.5974,0.0,0.0
1707721200000,2024-02-12 07:00:00,UNI/USD,6.5515,6.5974,6.5515,6.5974,0.823504,5.4329852896
1707717600000,2024-02-12 06:00:00,UNI/USD,6.6374,6.6374,6.5515,6.5515,231.624462,1517.487662793
1707714000000,2024-02-12 05:00:00,UNI/USD,6.6367,6.6374,6.6367,6.6374,11.752814,78.0081276436
1707710400000,2024-02-12 04:00:00,UNI/USD,6.6472,6.6472,6.6367,6.6367,12.71026,84.354182542
1707706800000,2024-02-12 03:00:00,UNI/USD,6.601,6.6472,6.601,6.6472,1.042034,6.926608404799999
1707703200000,2024-02-12 02:00:00,UNI/USD,6.6975,6.6975,6.601,6.601,30.135453,198.924125253
1707699600000,2024-02-12 01:00:00,UNI/USD,6.7011,6.7011,6.6438,6.6975,364.565653,2441.6784609675
1707696000000,2024-02-12 00:00:00,UNI/USD,6.6809,6.7379,6.6809,6.7011,2.441282,16.359274810200002
1707692400000,2024-02-11 23:00:00,UNI/USD,6.7247,6.7247,6.6809,6.6809,1.210418,8.0866816162
1707688800000,2024-02-11 22:00:00,UNI/USD,6.7239,6.7247,6.7239,6.7247,71.37888,480.00155433599997
1707685200000,2024-02-11 21:00:00,UNI/USD,6.7314,6.7314,6.7112,6.7239,86.971894,584.7903180666001
1707681600000,2024-02-11 20:00:00,UNI/USD,6.8013,6.8196,6.7314,6.7314,17.81989,119.952807546
1707678000000,2024-02-11 19:00:00,UNI/USD,6.7887,6.8093,6.7887,6.8013,79.264689,539.1029292957
1707674400000,2024-02-11 18:00:00,UNI/USD,6.7314,6.7887,6.7314,6.7887,294.75025,2000.9710221750001
1707670800000,2024-02-11 17:00:00,UNI/USD,6.6472,6.8093,6.6472,6.7314,577.289544,3885.9668364816
1707667200000,2024-02-11 16:00:00,UNI/USD,6.64,6.6472,6.5912,6.6472,114.164053,758.8712931015999
1707663600000,2024-02-11 15:00:00,UNI/USD,6.5643,6.64,6.5643,6.64,5.230611,34.731257039999996
1707660000000,2024-02-11 14:00:00,UNI/USD,6.6472,6.6472,6.5565,6.5643,92.58435,607.751448705
1707656400000,2024-02-11 13:00:00,UNI/USD,6.6472,6.6472,6.6472,6.6472,0.0,0.0
1707652800000,2024-02-11 12:00:00,UNI/USD,6.6472,6.6472,6.6472,6.6472,0.0,0.0
1707649200000,2024-02-11 11:00:00,UNI/USD,6.601,6.6472,6.601,6.6472,0.817333,5.432975917599999
1707645600000,2024-02-11 10:00:00,UNI/USD,6.6209,6.6209,6.601,6.601,0.817333,5.395215133
1707642000000,2024-02-11 09:00:00,UNI/USD,6.6557,6.6557,6.6209,6.6209,11.066983,73.2733877447
1707638400000,2024-02-11 08:00:00,UNI/USD,6.6271,6.6557,6.6271,6.6557,15.054241,100.1965118237
1707634800000,2024-02-11 07:00:00,UNI/USD,6.6486,6.6486,6.6271,6.6271,108.36517,718.1468181070001
1707631200000,2024-02-11 06:00:00,UNI/USD,6.6436,6.6486,6.6436,6.6486,4.512161,29.9995536246
1707627600000,2024-02-11 05:00:00,UNI/USD,6.6576,6.6576,6.6372,6.6436,184.951299,1228.7424500364
1707624000000,2024-02-11 04:00:00,UNI/USD,6.6573,6.6788,6.6573,6.6576,2.374274,15.806966582400003
1707620400000,2024-02-11 03:00:00,UNI/USD,6.5943,6.6573,6.5943,6.6573,427.436689,2845.5742696797
1707616800000,2024-02-11 02:00:00,UNI/USD,6.5911,6.6003,6.5911,6.5943,54.293215,358.02574767449994
1707613200000,2024-02-11 01:00:00,UNI/USD,6.5911,6.6047,6.5833,6.5911,7.802405,51.4264315955
1707609600000,2024-02-11 00:00:00,UNI/USD,6.636,6.636,6.5911,6.5911,4.559951,30.0550930361
1707606000000,2024-02-10 23:00:00,UNI/USD,6.6309,6.6391,6.618,6.636,143.251614,950.617710504
1707602400000,2024-02-10 22:00:00,UNI/USD,6.6873,6.6873,6.6309,6.6309,95.549901,633.5818385409
1707598800000,2024-02-10 21:00:00,UNI/USD,6.6537,6.6873,6.6537,6.6873,366.84416,2453.196951168
1707595200000,2024-02-10 20:00:00,UNI/USD,6.6385,6.6574,6.6385,6.6537,167.039087,1111.4279731719
1707591600000,2024-02-10 19:00:00,UNI/USD,6.6482,6.6482,6.6385,6.6385,0.01,0.066385
1707588000000,2024-02-10 18:00:00,UNI/USD,6.6057,6.6482,6.6057,6.6482,3.179923,21.1407640886
1707584400000,2024-02-10 17:00:00,UNI/USD,6.6057,6.6057,6.6057,6.6057,0.0,0.0
1707580800000,2024-02-10 16:00:00,UNI/USD,6.6174,6.6174,6.5714,6.6057,1636.778725,10812.069223732498
1707577200000,2024-02-10 15:00:00,UNI/USD,6.601,6.6174,6.601,6.6174,8.268274,54.7144763676
1707573600000,2024-02-10 14:00:00,UNI/USD,6.5938,6.6141,6.5938,6.601,295.139538,1948.2160903380002
1707570000000,2024-02-10 13:00:00,UNI/USD,6.6074,6.6114,6.5938,6.5938,17.559354,115.78286840519999
1707566400000,2024-02-10 12:00:00,UNI/USD,6.5974,6.6074,6.5974,6.6074,0.410821,2.7144586754
1707562800000,2024-02-10 11:00:00,UNI/USD,6.55,6.5974,6.55,6.5974,10.381083,68.4881569842
1707559200000,2024-02-10 10:00:00,UNI/USD,6.6273,6.6273,6.55,6.55,27.099515,177.50182325
1707555600000,2024-02-10 09:00:00,UNI/USD,6.5758,6.6273,6.5758,6.6273,0.81979,5.432994267
1707552000000,2024-02-10 08:00:00,UNI/USD,6.6309,6.6463,6.5758,6.5758,301.308471,1981.3442436018
1707548400000,2024-02-10 07:00:00,UNI/USD,6.6609,6.6609,6.6309,6.6309,3.024957,20.0581873713
1707544800000,2024-02-10 06:00:00,UNI/USD,6.6809,6.6809,6.6609,6.6609,30.003576,199.8508193784
1707541200000,2024-02-10 05:00:00,UNI/USD,6.7011,6.7011,6.6809,6.6809,0.807554,5.3951875186
1707537600000,2024-02-10 04:00:00,UNI/USD,6.7112,6.7262,6.7011,6.7011,200.818184,1345.7027328024
1707534000000,2024-02-10 03:00:00,UNI/USD,6.7261,6.7683,6.7112,6.7112,177.344785,1190.196321092
1707530400000,2024-02-10 02:00:00,UNI/USD,6.6975,6.7379,6.6975,6.7261,111.641523,750.9120478503
1707526800000,2024-02-10 01:00:00,UNI/USD,6.7732,6.7732,6.6471,6.6975,1106.100164,7408.10584839
1707523200000,2024-02-10 00:00:00,UNI/USD,6.7731,6.7732,6.7731,6.7732,0.01,0.067732
1707519600000,2024-02-09 23:00:00,UNI/USD,6.7509,6.7731,6.7509,6.7731,0.844359,5.7189279429
1707516000000,2024-02-09 22:00:00,UNI/USD,6.693,6.7509,6.6609,6.7509,129.821502,876.4119778518
1707512400000,2024-02-09 21:00:00,UNI/USD,6.6261,6.693,6.5481,6.693,310.324774,2077.003712382
1707508800000,2024-02-09 20:00:00,UNI/USD,6.6261,6.6262,6.5813,6.6261,8.154201,54.0305512461
1707505200000,2024-02-09 19:00:00,UNI/USD,6.5912,6.6409,6.5584,6.6261,320.795055,2125.6201139355
1707501600000,2024-02-09 18:00:00,UNI/USD,6.6074,6.683,6.5713,6.5912,80.413144,530.0191147328
1707498000000,2024-02-09 17:00:00,UNI/USD,6.5971,6.6526,6.5487,6.6074,138.525035,915.2903162590001
1707494400000,2024-02-09 16:00:00,UNI/USD,6.5971,6.5971,6.5971,6.5971,94.097651,620.7716134121
1707490800000,2024-02-09 15:00:00,UNI/USD,6.62,6.62,6.5971,6.5971,19.719455,130.0912165805
1707487200000,2024-02-09 14:00:00,UNI/USD,6.6173,6.7732,6.5641,6.62,708.735795,4691.8309629000005
1707483600000,2024-02-09 13:00:00,UNI/USD,6.5578,6.6173,6.5578,6.6173,22.295198,147.5340137254
1707480000000,2024-02-09 12:00:00,UNI/USD,6.548,6.5677,6.5213,6.5578,39.449167,258.6997473526
1707476400000,2024-02-09 11:00:00,UNI/USD,6.4635,6.548,6.4575,6.548,128.546171,841.7203277079999
1707472800000,2024-02-09 10:00:00,UNI/USD,6.4828,6.4828,6.4635,6.4635,10.796121,69.7807280835
1707469200000,2024-02-09 09:00:00,UNI/USD,6.5381,6.5425,6.4732,6.4828,45.636687,295.8535144836
1707465600000,2024-02-09 08:00:00,UNI/USD,6.4987,6.5381,6.4987,6.5381,60.013755,392.3759315655
1707462000000,2024-02-09 07:00:00,UNI/USD,6.4599,6.4987,6.4599,6.4987,31.335151,203.6377458037
1707458400000,2024-02-09 06:00:00,UNI/USD,6.4607,6.486,6.4004,6.4599,68.415555,441.9576437445
1707454800000,2024-02-09 05:00:00,UNI/USD,6.7478,6.7509,6.3705,6.4607,720.705767,4656.263748856901
1707451200000,2024-02-09 04:00:00,UNI/USD,6.4538,6.7478,6.4538,6.7478,1367.342449,9226.5533773622
1707447600000,2024-02-09 03:00:00,UNI/USD,6.4989,6.5183,6.4538,6.4538,25.113372,162.07668021359999
1707444000000,2024-02-09 02:00:00,UNI/USD,6.43,6.4989,6.4078,6.4989,120.982401,786.2525258589
1707440400000,2024-02-09 01:00:00,UNI/USD,6.4298,6.43,6.3617,6.43,647.130371,4161.04828553
1707436800000,2024-02-09 00:00:00,UNI/USD,6.3282,6.4298,6.3245,6.4298,1.540433,9.9046761034
1707433200000,2024-02-08 23:00:00,UNI/USD,6.4646,6.47,6.3282,6.3282,38.280453,242.2463626746
1707429600000,2024-02-08 22:00:00,UNI/USD,6.3383,6.5427,6.3383,6.4646,133.956773,865.9769547358
1707426000000,2024-02-08 21:00:00,UNI/USD,6.4372,6.4372,6.3278,6.3383,10.042338,63.65135094540001
1707422400000,2024-02-08 20:00:00,UNI/USD,6.4372,6.4372,6.4372,6.4372,0.415801,2.6765941971999996
1707418800000,2024-02-08 19:00:00,UNI/USD,6.4372,6.4373,6.4371,6.4372,15.41015,99.19821757999999
1707415200000,2024-02-08 18:00:00,UNI/USD,6.4373,6.4373,6.4371,6.4372,2.470573,15.903572515599999
1707411600000,2024-02-08 17:00:00,UNI/USD,6.316,6.4373,6.316,6.4373,26.868059,172.95775620069998
1707408000000,2024-02-08 16:00:00,UNI/USD,6.3827,6.4736,6.316,6.316,111.768478,705.929707048
1707404400000,2024-02-08 15:00:00,UNI/USD,6.438,6.438,6.3299,6.3827,323.638495,2065.6874220365
1707400800000,2024-02-08 14:00:00,UNI/USD,6.4379,6.438,6.3299,6.438,472.748132,3043.5524738159997
1707397200000,2024-02-08 13:00:00,UNI/USD,6.3331,6.4379,6.3331,6.4379,20.57097,132.433847763
1707393600000,2024-02-08 12:00:00,UNI/USD,6.3687,6.438,6.3331,6.3331,776.873354,4920.016638217399
1707390000000,2024-02-08 11:00:00,UNI/USD,6.3687,6.3687,6.3687,6.3687,0.0,0.0
1707386400000,2024-02-08 10:00:00,UNI/USD,6.3795,6.3795,6.3687,6.3687,0.01,0.063687
1707382800000,2024-02-08 09:00:00,UNI/USD,6.3893,6.3893,6.3777,6.3795,0.790712,5.044347204
